# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,85
0.01,0,0,0,0,0,0,85
0.02,0,0,0,0,0,0,85
0.03,0,0,0,0,0,0,85
0.04,0,0,0,0,0,0,85
0.05,0,0,0,0,0,0,85
0.06,0,0,0,0,0,0,85
0.07,0,0,0,0,0,0,85
0.08,0,0,0,0,0,0,85
0.09,0,0,0,0,0,0,85
0.1,0,0,0,0,0,0,85
0.11,0,0,0,0,0,0,85
0.12,0,0,0,0,0,0,85
0.13,0,0,0,0,0,0,85
0.14,0,0,0,0,0,0,85
0.15,0,0,0,0,0,0,85
0.16,0,0,0,0,0,0,85
0.17,0,0,0,0,0,0,85
0.18,0,0,0,0,0,0,85
0.19,0,0,0,0,0,0,85
0.2,0,0,0,0,0,0,85
0.21,0,0,0,0,0,0,85
0.22,0,0,0,0,0,0,85
0.23,0,0,0,0,0,0,85
0.24,0,0,0,0,0,0,85
0.25,0,0,0,0,0,0,85
0.26,0,0,0,0,0,0,85
0.27,0,0,0,0,0,0,85
0.28,0,0,0,0,0,0,85
0.29,0,0,0,0,0,0,85
0.3,0,0,0,0,0,0,85
0.31,0,0,0,0,0,0,85
0.32,0,0,0,0,0,0,85
0.33,0,0,0,0,0,0,85
0.34,0,0,0,0,0,0,85
0.35,0,0,0,0,0,0,85
0.36,0,0,0,0,0,0,85
0.367,0,0,0,0,0,0,85
0.377,0,0,0,0,0,0,85
0.387,0,0,0,0,0,0,85
0.397,0,0,0,0,0,0,85
0.407,0,0,0,0,0,0,85
0.417,0,0,0,0,0,0,85
0.427,0,0,0,0,0,0,85
0.433,0,0,0,0,0,0,85
0.442,0,0,0,0,0,0,85
0.452,0,0,0,0,0,0,85
0.462,0,0,0,0,0,0,85
0.469,0,0,0,0,0,0,85
0.479,0,0,0,0,0,0,85
0.489,0,0,0,0,0,0,85
0.499,0,0,0,0,0,0,85
0.505,0,0,0,0,0,0,85
0.514,0,0,0,0,0,0,85
0.524,0,0,0,0,0,0,85
0.534,0,0,0,0,0,0,85
0.538,0,0,0,0,0,0,85
0.544,0,0,0,0,0,0,85
0.553,0,0,0,0,0,0,85
0.563,0,0,0,0,0,0,85
0.566,0,0,0,0,0,0,85
0.57,0,0,0,0,0,0,85
0.577,0,0,0,0,0,0,85
0.587,0,0,0,0,0,0,85
0.594,0,0,0,0,0,0,85
0.604,0,0,0,0,0,0,85
0.609,0,0,0,0,0,0,85
0.617,3.552e-6,0.002,1.092,1.51e-5,0,0.005,84.979
0.625,5.725e-5,0.012,2.045,9.022e-5,0,0.013,84.858
0.635,3.074e-4,0.041,4.092,2.68e-4,0,0.023,84.53
0.645,9.397e-4,0.088,5.529,5.58e-4,0,0.035,83.999
0.65,0.001,0.119,7.196,7.499e-4,0,0.042,83.644
0.655,0.002,0.157,8.534,9.768e-4,0,0.049,83.205
0.66,0.003,0.204,10.209,0.001,0,0.057,82.682
0.663,0.004,0.236,11.886,0.001,0,0.062,82.313
0.668,0.005,0.292,12.965,0.002,0,0.071,81.69
0.67,0.006,0.324,13.565,0.002,0,0.076,81.321
0.673,0.007,0.368,15.804,0.002,0,0.082,80.832
0.678,0.009,0.441,16.813,0.003,0,0.092,80.02
0.681,0.01,0.5,17.599,0.003,0,0.1,79.357
0.684,0.011,0.547,20.623,0.003,0,0.106,78.839
0.686,0.013,0.601,22.391,0.003,0,0.112,78.242
0.69,0.015,0.687,23.608,0.004,0,0.123,77.304
0.693,0.018,0.765,24.663,0.004,5.671e-9,0.132,76.457
# Event LIFTOFF occurred at t=0.696 seconds
0.696,0.02,0.842,27.231,0.005,6.406e-9,0.141,75.622
0.7,0.024,0.967,28.397,0.005,7.559e-9,0.152,74.282
0.706,0.03,1.126,29.823,0.006,8.968e-9,0.166,72.576
